         7568835 function calls (7327574 primitive calls) in 7.865 seconds

   Ordered by: cumulative time
   List reduced from 654 to 150 due to restriction <150>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      360    0.002    0.000    0.079    0.000 adam.py:865(adam)
      360    0.023    0.000    0.073    0.000 adam.py:344(_single_tensor_adam)
      900    0.002    0.000    0.066    0.000 message_passing.py:577(aggregate)
     1876    0.062    0.000    0.062    0.000 {method 'join' of 'str' objects}
    17820    0.013    0.000    0.062    0.000 _common.py:185(__getattr__)
   105834    0.021    0.000    0.054    0.000 data.py:1011(x)
     9900    0.004    0.000    0.049    0.000 _common.py:241(on_records)
      900    0.001    0.000    0.046    0.000 experimental.py:114(wrapper)
      900    0.024    0.000    0.045    0.000 loop.py:585(add_remaining_self_loops)
      990    0.002    0.000    0.044    0.000 driver.py:561(session)
    14850    0.006    0.000    0.044    0.000 inspect.py:427(iscoroutinefunction)
     2346    0.043    0.000    0.043    0.000 {built-in method torch.tensor}
      900    0.002    0.000    0.042    0.000 base.py:101(__call__)
      990    0.001    0.000    0.042    0.000 _common.py:149(flush)
        1    0.000    0.000    0.042    0.042 CPU_utilization_logger.py:5(find_neo4j_process)
      887    0.001    0.000    0.041    0.000 __init__.py:1512(process_iter)
   464183    0.039    0.000    0.040    0.000 {method 'get' of 'dict' objects}
      897    0.002    0.000    0.040    0.000 __init__.py:545(as_dict)
     9900    0.004    0.000    0.040    0.000 result.py:240(on_records)
     1800    0.006    0.000    0.040    0.000 _scatter.py:14(scatter)
      990    0.001    0.000    0.040    0.000 _bolt_socket.py:463(sendall)
      199    0.000    0.000    0.039    0.000 __init__.py:1482(pids)
   136663    0.039    0.000    0.039    0.000 {built-in method numpy.frombuffer}
      990    0.001    0.000    0.037    0.000 driver.py:598(_read_session_config)
     1980    0.002    0.000    0.037    0.000 _common.py:246(on_success)
      900    0.001    0.000    0.037    0.000 basic.py:19(forward)
      900    0.001    0.000    0.037    0.000 message_passing.py:263(_index_select)
      462    0.029    0.000    0.036    0.000 {built-in method torch.zeros_like}
     9900    0.003    0.000    0.036    0.000 {method 'extend' of 'collections.deque' objects}
      900    0.000    0.000    0.035    0.000 message_passing.py:269(_index_select_safe)
      900    0.010    0.000    0.035    0.000 {method 'index_select' of 'torch._C.TensorBase' objects}
854938/854668    0.034    0.000    0.034    0.000 {built-in method builtins.len}
      199    0.001    0.000    0.034    0.000 _psosx.py:319(pids)
    52062    0.033    0.000    0.033    0.000 {built-in method torch.as_tensor}
      990    0.001    0.000    0.033    0.000 session.py:122(_connect)
431909/429749    0.028    0.000    0.033    0.000 {built-in method builtins.isinstance}
    19800    0.011    0.000    0.033    0.000 result.py:250(<genexpr>)
      199    0.033    0.000    0.033    0.000 {built-in method psutil._psutil_osx.pids}
      990    0.002    0.000    0.032    0.000 result.py:239(_pull)
      990    0.006    0.000    0.032    0.000 workspace.py:149(_connect)
      450    0.031    0.000    0.031    0.000 {method 'abs' of 'torch._C.TensorBase' objects}
      720    0.001    0.000    0.031    0.000 __init__.py:669(update)
      990    0.001    0.000    0.030    0.000 _bolt6.py:590(handler)
      990    0.002    0.000    0.030    0.000 _conf.py:326(__init__)
   451532    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}
      720    0.030    0.000    0.030    0.000 {built-in method _collections._count_elements}
     1260    0.005    0.000    0.030    0.000 profiler.py:776(__exit__)
      450    0.001    0.000    0.028    0.000 loss.py:1296(forward)
      900    0.027    0.000    0.027    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
      630    0.027    0.000    0.027    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
      450    0.001    0.000    0.027    0.000 functional.py:3404(cross_entropy)
      900    0.001    0.000    0.026    0.000 base.py:173(reduce)
     2970    0.008    0.000    0.026    0.000 _conf.py:278(__update)
      900    0.001    0.000    0.026    0.000 feature_store.py:73(is_fully_specified)
      990    0.002    0.000    0.026    0.000 result.py:262(on_success)
      450    0.026    0.000    0.026    0.000 {built-in method torch._C._nn.cross_entropy_loss}
     2700    0.025    0.000    0.025    0.000 feature_store.py:68(is_set)
        2    0.000    0.000    0.024    0.012 CPU_utilization_logger.py:118(burst)
     1260    0.001    0.000    0.024    0.000 _ops.py:981(__call__)
      990    0.002    0.000    0.024    0.000 _bolt6.py:370(pull)
    36511    0.024    0.000    0.024    0.000 {method 'settimeout' of '_socket.socket' objects}
      450    0.024    0.000    0.024    0.000 {built-in method torch.isin}
    14850    0.012    0.000    0.023    0.000 inspect.py:391(_has_code_flag)
      360    0.000    0.000    0.021    0.000 Measurer.py:176(log_edge_visits)
      990    0.001    0.000    0.021    0.000 _bolt_socket.py:399(_wait_for_write)
     1800    0.021    0.000    0.021    0.000 {method 'scatter_add_' of 'torch._C.TensorBase' objects}
    11880    0.004    0.000    0.021    0.000 __init__.py:456(unpack_structure_header)
    81702    0.013    0.000    0.020    0.000 {built-in method builtins.getattr}


