Event,Time,Value
program_start,208767.299906208,1
sampling_backend,208767.301351458,pyg-lib
nbr_training_datapoints,208767.301758625,140
cpu_utilization_percentage,208767.302247875,22.6
ram_usage_mb,208767.302251541,529.140625
epoch_start,208767.302263291,1
start_batch_fetch,208767.302308375,1
end_batch_fetch,208767.30300425,1
batch_nbr_nodes_total,208767.303010125,292
batch_nbr_edges_total,208767.303013583,469
batch_nbr_seed_nodes,208767.303018083,30
start_batch_processing,208767.303019583,1
batch_train_loss,208767.303859375,1.9732551574707031
end_batch_processing,208767.304587375,1
start_batch_fetch,208767.304589791,1
end_batch_fetch,208767.304966583,1
batch_nbr_nodes_total,208767.304972041,392
batch_nbr_edges_total,208767.304975083,608
batch_nbr_seed_nodes,208767.304978666,30
start_batch_processing,208767.304979875,1
batch_train_loss,208767.305720458,1.94603431224823
end_batch_processing,208767.306270416,1
start_batch_fetch,208767.306272583,1
end_batch_fetch,208767.306619166,1
batch_nbr_nodes_total,208767.306625541,353
batch_nbr_edges_total,208767.30662875,579
batch_nbr_seed_nodes,208767.306632916,30
start_batch_processing,208767.3066345,1
batch_train_loss,208767.307373833,1.9238994121551514
end_batch_processing,208767.307916541,1
start_batch_fetch,208767.3079185,1
end_batch_fetch,208767.308230791,1
batch_nbr_nodes_total,208767.308235041,375
batch_nbr_edges_total,208767.308237791,613
batch_nbr_seed_nodes,208767.308241583,30
start_batch_processing,208767.308243041,1
batch_train_loss,208767.308860666,1.9441730976104736
end_batch_processing,208767.30937325,1
epoch_end,208767.309380958,1
start_validation_accuracy,208767.309382416,1
validation_accuracy,208767.31449675,0.1600000050613565
validation_loss,208767.314503416,1.9444851875305176
end_validation_accuracy,208767.314506,1
start_saving_weights,208767.314508458,1
end_saving_weights,208767.314511458,1
epoch_start,208767.3145155,1
start_batch_fetch,208767.314559916,1
end_batch_fetch,208767.314940291,1
batch_nbr_nodes_total,208767.314945583,294
batch_nbr_edges_total,208767.314948583,469
batch_nbr_seed_nodes,208767.314952791,30
start_batch_processing,208767.314954291,1
batch_train_loss,208767.315551458,1.9373724460601807
end_batch_processing,208767.316169791,1
start_batch_fetch,208767.316173333,1
end_batch_fetch,208767.31650675,1
batch_nbr_nodes_total,208767.316511166,396
batch_nbr_edges_total,208767.316513916,607
batch_nbr_seed_nodes,208767.316517583,30
start_batch_processing,208767.316519083,1
batch_train_loss,208767.317124708,1.9221324920654297
end_batch_processing,208767.317710375,1
start_batch_fetch,208767.317713083,1
end_batch_fetch,208767.318060083,1
batch_nbr_nodes_total,208767.318066,351
batch_nbr_edges_total,208767.318069208,572
batch_nbr_seed_nodes,208767.318073166,30
start_batch_processing,208767.318074625,1
batch_train_loss,208767.318875666,1.8966124057769775
end_batch_processing,208767.319544125,1
start_batch_fetch,208767.319547666,1
end_batch_fetch,208767.319934958,1
batch_nbr_nodes_total,208767.319939541,360
batch_nbr_edges_total,208767.319942708,633
batch_nbr_seed_nodes,208767.319947,30
start_batch_processing,208767.319948458,1
batch_train_loss,208767.320602958,1.930188536643982
end_batch_processing,208767.32118775,1
epoch_end,208767.321196666,1
start_validation_accuracy,208767.321198375,1
validation_accuracy,208767.3258555,0.1940000061686227
validation_loss,208767.325859333,1.9352563619613647
end_validation_accuracy,208767.325861416,1
start_saving_weights,208767.325863,1
end_saving_weights,208767.325865,1
epoch_start,208767.325868875,1
start_batch_fetch,208767.325900958,1
end_batch_fetch,208767.326188958,1
batch_nbr_nodes_total,208767.326193583,292
batch_nbr_edges_total,208767.326196833,469
batch_nbr_seed_nodes,208767.326200708,30
start_batch_processing,208767.326202125,1
batch_train_loss,208767.326826083,1.9167263507843018
end_batch_processing,208767.327364583,1
start_batch_fetch,208767.327366916,1
end_batch_fetch,208767.327663916,1
batch_nbr_nodes_total,208767.327668208,399
batch_nbr_edges_total,208767.32767125,608
batch_nbr_seed_nodes,208767.327675458,30
start_batch_processing,208767.327676916,1
batch_train_loss,208767.328337375,1.90099036693573
end_batch_processing,208767.328828125,1
start_batch_fetch,208767.328830375,1
end_batch_fetch,208767.329107583,1
batch_nbr_nodes_total,208767.329111458,355
batch_nbr_edges_total,208767.329113916,586
batch_nbr_seed_nodes,208767.329117541,30
start_batch_processing,208767.329118875,1
batch_train_loss,208767.329677875,1.8648853302001953
end_batch_processing,208767.330137625,1
start_batch_fetch,208767.33013975,1
end_batch_fetch,208767.3304015,1
batch_nbr_nodes_total,208767.330405333,379
batch_nbr_edges_total,208767.330408041,629
batch_nbr_seed_nodes,208767.330411791,30
start_batch_processing,208767.330413291,1
batch_train_loss,208767.330990708,1.91585111618042
end_batch_processing,208767.3315325,1
epoch_end,208767.331540916,1
start_validation_accuracy,208767.3315425,1
validation_accuracy,208767.336864916,0.2160000067784405
validation_loss,208767.336869708,1.9257123470306396
end_validation_accuracy,208767.336872,1
start_saving_weights,208767.336873916,1
end_saving_weights,208767.336875916,1
epoch_start,208767.336880041,1
start_batch_fetch,208767.336921833,1
end_batch_fetch,208767.337336875,1
batch_nbr_nodes_total,208767.3373435,298
batch_nbr_edges_total,208767.337346541,469
batch_nbr_seed_nodes,208767.337350625,30
start_batch_processing,208767.337351916,1
batch_train_loss,208767.337934333,1.8940473794937134
end_batch_processing,208767.338562291,1
start_batch_fetch,208767.338566541,1
end_batch_fetch,208767.338941708,1
batch_nbr_nodes_total,208767.338945666,390
batch_nbr_edges_total,208767.338948166,608
batch_nbr_seed_nodes,208767.33895175,30
start_batch_processing,208767.338953125,1
batch_train_loss,208767.339529166,1.8805129528045654
end_batch_processing,208767.340058333,1
start_batch_fetch,208767.340061125,1
end_batch_fetch,208767.340375041,1
batch_nbr_nodes_total,208767.340380708,354
batch_nbr_edges_total,208767.340384083,578
batch_nbr_seed_nodes,208767.340388833,30
start_batch_processing,208767.340390375,1
batch_train_loss,208767.340958708,1.8289692401885986
end_batch_processing,208767.341546291,1
start_batch_fetch,208767.341549791,1
end_batch_fetch,208767.341929541,1
batch_nbr_nodes_total,208767.341935666,378
batch_nbr_edges_total,208767.341938833,632
batch_nbr_seed_nodes,208767.341942791,30
start_batch_processing,208767.341944458,1
batch_train_loss,208767.342608875,1.8960829973220825
end_batch_processing,208767.343244958,1
epoch_end,208767.343260291,1
start_validation_accuracy,208767.343261875,1
validation_accuracy,208767.348635583,0.24400000731063792
validation_loss,208767.348643833,1.9113843441009521
end_validation_accuracy,208767.348645916,1
start_saving_weights,208767.348647791,1
end_saving_weights,208767.348649958,1
epoch_start,208767.348653291,1
start_batch_fetch,208767.348706,1
end_batch_fetch,208767.349048,1
batch_nbr_nodes_total,208767.349053291,303
batch_nbr_edges_total,208767.349056541,469
batch_nbr_seed_nodes,208767.349060625,30
start_batch_processing,208767.349061916,1
batch_train_loss,208767.349778083,1.8725684881210327
end_batch_processing,208767.350439375,1
start_batch_fetch,208767.350441333,1
end_batch_fetch,208767.35083225,1
batch_nbr_nodes_total,208767.350840666,400
batch_nbr_edges_total,208767.350843833,611
batch_nbr_seed_nodes,208767.350847416,30
start_batch_processing,208767.350848666,1
batch_train_loss,208767.351521708,1.8578983545303345
end_batch_processing,208767.352210375,1
start_batch_fetch,208767.352212958,1
end_batch_fetch,208767.352621125,1
batch_nbr_nodes_total,208767.352627333,345
batch_nbr_edges_total,208767.352630166,579
batch_nbr_seed_nodes,208767.352638583,30
start_batch_processing,208767.352639916,1
batch_train_loss,208767.35333575,1.7862566709518433
end_batch_processing,208767.353887291,1
start_batch_fetch,208767.353890041,1
end_batch_fetch,208767.354236583,1
batch_nbr_nodes_total,208767.354240333,380
batch_nbr_edges_total,208767.354314208,626
batch_nbr_seed_nodes,208767.354318291,30
start_batch_processing,208767.35431975,1
batch_train_loss,208767.354976708,1.8768972158432007
end_batch_processing,208767.355509041,1
epoch_end,208767.355516666,1
start_validation_accuracy,208767.355518041,1
validation_accuracy,208767.360573041,0.2580000078305602
validation_loss,208767.360576333,1.8972065448760986
end_validation_accuracy,208767.360578416,1
start_saving_weights,208767.360579916,1
end_saving_weights,208767.360581791,1
epoch_start,208767.360585416,1
start_batch_fetch,208767.360626583,1
end_batch_fetch,208767.360982125,1
batch_nbr_nodes_total,208767.360987541,290
batch_nbr_edges_total,208767.360990166,469
batch_nbr_seed_nodes,208767.360993916,30
start_batch_processing,208767.360995166,1
batch_train_loss,208767.361591958,1.8463397026062012
end_batch_processing,208767.36226775,1
start_batch_fetch,208767.362270166,1
end_batch_fetch,208767.362646583,1
batch_nbr_nodes_total,208767.362657041,398
batch_nbr_edges_total,208767.362659791,609
batch_nbr_seed_nodes,208767.362663791,30
start_batch_processing,208767.362665166,1
batch_train_loss,208767.363417583,1.8222652673721313
end_batch_processing,208767.364032458,1
start_batch_fetch,208767.364035666,1
end_batch_fetch,208767.364369166,1
batch_nbr_nodes_total,208767.364373333,345
batch_nbr_edges_total,208767.364376041,577
batch_nbr_seed_nodes,208767.364383166,30
start_batch_processing,208767.364384541,1
batch_train_loss,208767.364961416,1.7409608364105225
end_batch_processing,208767.365472791,1
start_batch_fetch,208767.36547475,1
end_batch_fetch,208767.365786708,1
batch_nbr_nodes_total,208767.365790541,368
batch_nbr_edges_total,208767.365793416,623
batch_nbr_seed_nodes,208767.365797166,30
start_batch_processing,208767.365798666,1
batch_train_loss,208767.366330833,1.8551864624023438
end_batch_processing,208767.366808916,1
epoch_end,208767.366819708,1
start_validation_accuracy,208767.366821083,1
validation_accuracy,208767.3716775,0.26600000792045575
validation_loss,208767.371681125,1.8810498714447021
end_validation_accuracy,208767.371683125,1
start_saving_weights,208767.371684875,1
end_saving_weights,208767.371686916,1
epoch_start,208767.371690416,1
start_batch_fetch,208767.37173125,1
end_batch_fetch,208767.372063541,1
batch_nbr_nodes_total,208767.372072291,295
batch_nbr_edges_total,208767.372075583,469
